상호,설명,업소정보,리뷰
우랑 청담점,"야키니쿠, 사시미 등과 이자카야 메뉴를 즐길 수 있는 곳. 야키니쿠를 시키면 조그만 화로가 나와 고기와 채소, 주먹밥 등을 구워 먹을 수 있다. 사케 한잔 곁들이기에도 좋다.","{'전화번호': '02-3445-4005', '이용시간': '월요일~토요일 11:30~14:00, 17:00~23:00', '휴무일': '매주 일요일', '대표메뉴': '우랑나베, 대게샤브샤브, 야끼니꾸', '주소': '06013  서울 강남구 압구정로79길 79 (청담동)  JM빌딩 1층', '교통 정보': '7호선 청담역 13번 출구에서 약 727m (도보 10분)'}","[{'review': '이곳의 메인인 해물나베와 스끼야끼는 정말 맛있다. 간이 세지 않아 여러 연령층이 먹기에 좋은 곳이다. 또한 미니화로구이에사 바로 익혀먹는 관자와 소고기는 감칠맛을 더한다.', 'score': '4'}, {'review': '안주가 맛있는 이자카야입니다. 조명이 어둡고 분위기가 좋은 편, 테이블이 넓은 편이라 편합니다. 친구들과 여럿이서 술 한잔 하기에 좋습니다 나베도 좋고, 사시미메뉴, 소고기 구이메뉴도 추천합니다. 생맥주도 맛있어요. 가격이 저렴한 편은 아닙니다.', 'score': '4'}, {'review': '나베가 맛있는 집. 다양한 안주가 있지만 나베가 특히 맛있는 집 분위기가 좋고 조용해서 친구들끼리 가서 한잔하기 좋은집. 위치가 애매하고, 가격이 저렴하지 않은게 단점 그래도 맛이 좋은 안주가 모든걸 커버해줄수 있음 조용하고 퀄리티 좋은 안주를 원한다면 추천합니다', 'score': '5'}, {'review': '가벼운 안주와 술한잔 하기 좋은 곳\n분위기가 좋아서 커플. 친구의 가벼운\n술한잔하기에 좋은 곳이다', 'score': '5'}]"
백년옥,"두부로 만든 음식 전문으로 유명하다. 콩비지백반, 자연식순두부, 야채두부비빔밥 등이 대표 메뉴이다. 자연식순두부백반은 조미를 하지 않은 순두부 덩어리가 따뜻한 물 속에 담겨져 나오고 양념장을 곁들여 먹는다. 뚝배기맛순두부는 얼큰한 순두부찌개이다. 여름에는 콩국수도 인기가 높다. 2020년 미쉐린 가이드에 선정되었다.","{'전화번호': '02-523-2860', '웹사이트': 'https://baengnyeonok.modoo.at/', '이용시간': '매일 10:00~21:00', '휴무일': '명절 휴무', '대표메뉴': '자연식 순두부, 뚝배기 순두부, 팥동지죽, 팥칼국수', '주소': '06719  서울 서초구 남부순환로 2407', '교통 정보': '3호선 남부터미널역 5번 출구에서 약 581m (도보 9분)'}","[{'review': '오랫동안 있었고 장소도 확장을 해서 넓기도 하고 맛도 좋습니다만 강남이라서 그런지 유명세가 있어서 그런지 두부치고는 가격이 부담스럽습니다', 'score': '3'}, {'review': '두부 요리 전문입니다.\n여러 두부 요리가 있고 두부전골도 맛있습니다.\n떡만두국 처럼 두부  외 다른 음식도 있습니다.\n가격도 너무 비싸지 않고 괜찮은 것 같습니다.', 'score': '4'}, {'review': '점심시간보다 살짝 이르게 도착해서 웨이팅없이, 별관이동 없이 앉을수있었습니다. 두부전골 소 주문을 했습니다. 두부양도 많아 좋았고 국물도 깔끔하고 시원해서 너무 좋았습니다.', 'score': '5'}, {'review': '미슐랭 빕구르망에 선정된 가게. 각종 두부 메뉴 전문점. 얼큰한 찌개를 먹음. 얼큰하면서도 담백한 것이 특징. 계란은 안에 안들었다. 사알짝 맑다는 느낌도 있다', 'score': '4'}, {'review': '몽글몽글한 순두부가 맛있는데! 간장이 조금 짜네요. 해물파전도 좋습니다. 예술의 전당 근처에서 오기 좋습니다. 발렛파킹이 되요.', 'score': '4'}]"
순희네 반찬,"사장님은 오빠의 장사 실패 후 직접 노점에서 반찬을 팔기 시작했다고 한다. 노점에서 김치와 게장 등 맛 좋은 반찬을 팔며 입소문이 나고 광장시장 안에 처음으로 반찬가게를 내게 되었다. 가게 이름은 큰딸의 이름에서 따와 ‘ 순희네반찬 ’ 으로 짓게 되었다. 지금은 누구나 ‘ 순희 ’ 라는 이름을 쓰지만, 광장시장에서 원조 ‘ 순희 ’ 는 순희네반찬이라는 것이 사장의 자부심이고, 자랑거리다. 순희네반찬의 단골손님들은 이곳이 또 다른 친정 같다고 말한다.","{'전화번호': '02-2279-1885', '이용시간': '09:00~21:00', '휴무일': '없음', '운영 요일': '매일', '주소': '03195  서울 종로구 창경궁로 88 1층 광장시장 65-1', '교통 정보': '1호선 종로5가역 8번 출구에서 약 217m (도보 3분)'}",[]
논현포차골목,"서민들의 삶이 녹아 있는 곳이 포장마차다. 흥겹고 정겨운 술잔이 편하게 오간다. 어깨가 닿을 만큼 좁은 공간에 옹기종기 모여 낯선 이들과도 자연스레 잔을 나눌 수 있다. 사람들은 그 정감 어린 분위기에 반해 포장마차를 찾는다.한신포차는 1980년대 초반 잠원동 한신아파트 근처에 모여 있던 포장마차촌의 이름이다. 포장마차의 추억을 가진 이들에게는 제법 유명한 포차(포장마차) 골목이었다. 구운 꽁치나 고등어, 오도독뼈(오돌뼈)와 닭발에 소주 한잔을 나누는 추억의 장소였다. 논현동 한신포차의 백종원 사장 또한 한신포차골목의 추억을 가진 사람이었다.그는 포장마차의 분위기를 살린 주점을 열기로 하고 이름을 고민하다 과거의 그‘한신(韓信)포차’를 떠올렸다. 영동시장 뒷골목에 있는 논현동 한신포차골목은 그렇게 만들어졌다. 새로운 개념의 대형 실내포장마차였다. 한신포차가 생기자 인근 강남이나 논현동 등지에서 술잔을 기울이던 이들이 마지막 술자리로 한신포차를 찾기 시작했다. 초창기에는 직장인들이, 이후에는 젊은 세대까지 가세했다.한신포차가 언론에 소개되며 입소문을 타자 골목을 따라 맛집들이 줄줄이 생겨났다. 역시나 조개구이, 감자탕, 파전 등 예스러운 안주를 주종으로 한 술집들이었다. 골목에 실제 포장마차는 없지만, 포장마차의 시끌벅적함을 그대로 간직하고 있다. 소중한 사람들과 술자리를 갖기에 안성맞춤이다. 한국의 정겨운 음주 문화를 경험해보고 싶은 외국인 친구과 함께 와도 좋다.","{'전화번호': '02-120', '주소': '서울특별시 강남구 논현동 영동시장 뒷길 일대', '교통 정보': '7호선 논현역 2번 출구 도보 10분\n2호선 강남역 6번 출구 도보 15분'}",[]
여수오동도,"여수식 회를 내는 집으로, 병어와 풍성한 채소를 초고추장에 무쳐 나오는 병어회가 유명하다. 저녁때는 식사와 술을 한꺼번에 해결하기에 좋다. 여수 별미인 장어탕도 맛볼 수 있으며, 여름에는 하모(갯장어)를 즐길 수 있다.","{'전화번호': '02-557-0039', '이용시간': '평일 11:00~15:00, 16:00~22:00 / 주말 11:00~22:00', '휴무일': '명절 당일 휴무', '대표메뉴': '갯장어, 병어, 전어', '주소': '06202  서울 강남구 삼성로71길 7', '교통 정보': '2호선, 수인분당선 선릉역 1번 출구에서 약 1.2km (도보 18분)'}","[{'review': '여름엔 하모랑 민어죠.\n여름을 잘 나기위해 좋은 동생들이랑 오래간만에 뭉쳐 몸보신 했네요. 하모ㅡ서대회ㅡ민어찜ㅡ매생이떡국등\n안주 라인업이 환상적.주차가능.가겍대있음', 'score': '4'}]"
만복림,"우리 입맛에 맞는 정통 중국 요리를 맛볼 수 있는 곳으로, 얼마 전에 대우센터 빌딩에서 남산 STX 남산타워 아케이드로 이전하였다. 이전하여서도 변함없는 분위기와 맛을 유지하고 있다.","{'전화번호': '02-753-5693', '이용시간': '매일 11:30 ~ 22:00', '휴무일': '명절 휴무', '이용요금': '약 1 ~ 14만원대', '대표메뉴': '팔진초면, 청경채소고기야채볶음, 닭고기캐슈넛, 새우칠리소스', '주소': '04637  서울 중구 후암로 98 (남대문로5가, LG서울역빌딩)', '교통 정보': '1호선, 4호선, 공항철도, 경의중앙선 서울역 10번 출구에서 약 98m (도보 1분)'}","[{'review': '서울역 근처에서 중식을 할 수 있는 곳입니다. 무엇보다 시설이 넓고 위생적인 메뉴로 셋트나 단품 모두 가격대비 만족도 있는 곳입니다.', 'score': '4'}, {'review': '점심시간에도 먹을수 있는 메뉴가 많지만 중식 코스요리를 전문적으로 하는 곳이기 때문에 요리를 먹기 위해 간다면 괜찮다. 모임을 위한 공간은 별도로 분리되어 있어서 조용하게 식사가 가능하다. 직원분들은 친절하며 맛은 무난한 수준. 하지만 아무래도 저렴한 중국집은 아니라서 가격은 조금 비싼편이다. 이곳에서는 점심시간에 자장면 곱배기를 많이 주문해서 먹는데...', 'score': '4'}]"
조개창고,"매일 당일 공수하는 신선한 키조개, 전복, 가리비 등 30가지의 조개류를 무한리필로 먹을 수 있는 조개창고에는 20여 종의 다양한 사이드 메뉴가 있다. 단체 손님 전용룸을 보유하고 있어 직원 회식장소로도 적합하며, 고객이 원하는 메뉴를 직접 가져다 먹는 시스템으로 되어 있다. 시간제한이 없어 부담 없이 조개구이를 맛볼 수 있다.","{'전화번호': '010-4596-0449', '웹사이트': 'http://blog.naver.com/sissco1', '이용시간': '평일 17:00~23:00 \n주말 12:00~23:00', '휴무일': '연중무휴', '운영 요일': '매일', '이용요금': '1인 25,000원\n초등학생 17,500원 (14세 이하)\n미취학아동 12,500원 (24개월~7세)', '대표메뉴': '조개구이, 조개찜', '가격대': '1만원대', '주소': '04715  서울 성동구 왕십리로 331 (공영빌딩)', '교통 정보': '2호선 상왕십리역 4번 출구   \n2호선 왕십리역 11번 출구'}","[{'review': '종류도 다양하고 내부도 커서 괜찮으나,지하라보니 사람이 많을때 연기에 눈이 아프고 많이 더워서 불편합니다.그래서 오래 있기가 너무 힘들었어요.', 'score': '3'}, {'review': 'TV 맛집이라고 찾아간 곳이었는데 위치가 지하 1층이어서 선풍기, 에어컨을 계속 틀어도 연기때문에 너무 힘들었어요. 키조개를 비롯해서 백조개, 전복(오분자기인지 헷갈림) 등 조개 종류가 다양하게 있어서 마음껏 먹었는데 돼지고기나 다른 음식들은 그냥 생색용처럼 보일 정도로 맛은 없었습니다. 손님 반 이상이 중국여행객이어서 시끄럽다는 단점도 있었지만...', 'score': '4'}, {'review': '신선한 조개를 \n마음껏 먹을수 있는곳\n\n키조개. 전복. 꼬막.피조개 .바지락 등 \n조개를 마음껏 먹을수 있습니다 \n\n떡뽁이. 라면.치즈.튀김. 양념 불고기 \n목살. 돼지갈비 등도 마음껏 먹을수 \n있습니다 \n\n물 . 술 . 은 따로 돈을 내셔야 합니다 \n\n물  : 1병 1000원 \n술  : 맥주 1병  5500원\n사이다. 콜라 : 1병 2000원\n\n손님1명...', 'score': '3'}]"
뎁짜이,"신선한 생면과 진한 육수를 사용한 생면 쌀국수를 즐길 수 있으며, 베트남 하노이의 현지 조리방식으로 요리한다. 하노이에서 맛볼 수 있는 다양한 요리를 뎁짜이에서 즐길 수 있다.※  뎁짜이: 베트남어로 잘생긴 남자라는 의미","{'전화번호': '0507-1421-1915', '웹사이트': 'https://www.instagram.com/dep_trai_korea/', '홈페이지 언어': '한국어', '이용시간': '매일 11:00 - 22:00', '휴무일': '연중무휴', '대표메뉴': '하노이쌀국수, 직화분짜, 반미 샌드위치', '가격대': '1만원대', '주소': '03079  서울 종로구 대학로11길 41-4 (명륜4가)', '교통 정보': '4호선 혜화역 4번 출구에서 약 266m (도보 4분)'}",[]
레오니다스초콜릿카페,벨기에의 유명한 초콜릿 명가 레오니다스에서 오픈한 초콜릿 카페. 천연 카카오 버터를 사용한 고급스러운 초콜릿을 맛볼 수 있다. 음료도 저렴한 편이다.,"{'전화번호': '02-318-1312', '웹사이트': 'http://leonidas.kr', '이용시간': '08:00~21:00', '휴무일': '연중무휴', '운영 요일': '월요일~일요일', '이용요금': '초콜릿, 초콜릿음료, 아이스크림와플', '대표메뉴': '초콜릿', '주소': '04537  서울특별시 중구 명동길 62  (명동1가)', '교통 정보': '4호선 명동역 8번 출구에서 약 386m (도보 5분)'}","[{'review': '레오니다스는 다소 생소할지도 모르지만 초콜릿의 나라로 불리는 벨기에를 대표하는 고급 브랜드이며 유럽 내에서도 큰 명성을 갖고 있다고 한다. 1910년 그리스 출신으로 뉴욕과 파리에서 일한 제과사인 레오니다스 케스테키데스가 벨기에 브뤼셀 박람회에서 초콜릿 과자로 동상을 수상한 이래, 1913년 헨트 박람회로 벨기에를 재방문한 것을  계기로 완전히 정주하여...', 'score': '4'}, {'review': '벨기에에서 유명한 초콜릿인데다 로열 워런티도 받아서 어떤 초콜릿일 지 궁금해서 가보았어요. 클래식 누아르를 먹었는데 촉촉하고 적당히 달달하니 맛은 있었으나 엄청나게 맛있진 않았어요. 굳이 찾아갈 필요까진 없는 것 같아요;', 'score': '4'}, {'review': '내부는 캐주얼하고 편안한 분위기지만 초콜릿의 종류가 상당히 다양합니다. 선물용 초콜릿도 많이 있어서 선물하기에도 좋을 것 같아요. 퐁듀메뉴, 초콜릿 다 맛있었어요.', 'score': '4'}, {'review': '달달한 핫쵸콜렛을 드시고 싶다면 오리지널을 선택하세요. \n혀가 얼얼할 정도로 달달합니다.\n과일을 쵸콜렛으로 뒤덮어주는 퐁듀도 맛있습니다. \n하지만 1층엔 자리가 협소한 편이고 지하에 있는 좌석들은 좀 칙칙한 분위기입니다.\n안락한 카페보다는 맛있는 벨지움 쵸콜렛구입에 더 적합한 곳입니다.', 'score': '4'}, {'review': '8천원이라는 가성비가 무색할만큼 양도 넉넉하고, 톡톡 터지는 파핑 초콜렛이 맛있어요. 초코 빙수 생각 날 때마다 꼭 들리는 곳이에요. 아메리카노 한 잔을 더해도 만원이라는 착한가격. 이태원에도 있어요!', 'score': '5'}]"
스시 카이신,"<span style=""font-size: 12pt; font-family: NotoSansCJKkr-Regular; font-size: 12pt; line-height: 1.6; color: rgb(51, 51, 51);"">일본 긴자에서 접할 수 있는 작고 아담한 스타일의 고급 스시 전문점이다. 식자재 구매부터 손질, 접객에 이르기까지 일본인 오너셰프 혼자서 전 과정을 준비, 진행하여 항상 일정한 수준과 맛을 유지할 수 있도록 소규모로 카운터 총 6석의 카운터 석만을 운영한다. 1인부터 식사 가능하며, 소규모이므로 가능한 사전 예약을 추천한다.","{'전화번호': '02-515-9855', '웹사이트': 'https://www.facebook.com/SushiKaisin', '홈페이지 언어': '한국어,영어, 일본어', '이용시간': '매일 18:00~ 22:00 (예약 상황에 따라 오픈과 마감 시간이 상이)', '휴무일': '월 3회 휴무', '이것만은 꼭!': '예약제 운영', '이용요금': '1인 300,000원', '대표메뉴': '오마카세', '주소': '06071  서울 강남구 도산대로100길 12 (청담동, 우리빌딩 2층)', '교통 정보': '7호선 청담역 11번 출구에서 약 645m (도보 11분)'}","[{'review': '재료 본연의 신선한 맛을 풍부하게 살려주시고 요리 솜씨도 좋아서 정말 맛있는 음식점 입니다\n여유가 된다면 일주일에 3번갑니다', 'score': '5'}, {'review': '담백함이 일품인 생선하나 본연의 맛을 잘 살리는 곳이다. 접시가 블랙이라 음식의 시각적으로 더 맛있게 보인다. 식사패턴에 맞게 나온다. 매력있는 곳이였다.', 'score': '5'}, {'review': '작년에 TV에서 일본인 셰프님을 보고 리스트에 넣어 두었다가 부모님 결혼 기념일에 다녀왔어요. 저는 일본에 워낙 자주 가지만 사업으로 바쁘신 부모님께 서울에서라도 진짜 일본 전통초밥을 대접하고 싶었답니다ㅎㅎ 카운터 6석 작은 초밥집이라 부모님, 오빠, 저.. 이렇게 오붓하게 먹었어요! 일본 긴자에서 먹는 것처럼 아니 그 이상으로 진짜 너무 맛있고 일본분이...', 'score': '5'}]"
나폴레옹과자점,"전국 5대 빵집이자, 서울 3대 빵집. 1968년 서울 성북구에서 개업하여 2대째 가업을 이어오고 있는 제과점이다. 많은 이들이 이곳에서 제과 기술을 배워 가면서 한국제과업계에 많은 영향을 끼친 전통 있는 베이커리이다. 서울 성북구 동소문동 삼선교 자리에서 처음 문을 연 나폴레옹과자점은 2007년 성북천 복개 공사로 인하여 본점의 위치를 100m 이동해 성북동 입구에 재개장했으며, 1층은 제과점, 2층은 카페로 구성된 베이커리 카페로 운영하고 있다.            • 이곳은 '서울미래유산'으로 선정된 곳입니다. 서울의 근·현대 문화유산 중에서 미래 세대에게 전달할 만한 가치가 있는 유무형의 자산인 서울미래유산을 오래가게 여행에서 만나보세요.(     https://futureheritage.seoul.go.kr)","{'전화번호': '02-742-7421', '웹사이트': 'https://napoleonbakery.co.kr', '이용시간': '09:00~21:00', '휴무일': '없음', '운영 요일': '매일', '이용요금': '베이커리', '대표메뉴': '베이커리', '주소': '02880  서울 성북구 성북로 7', '교통 정보': '4호선 한성대입구역 5번 출구에서 약 40m (도보 1분)'}","[{'review': '요즘 워낙 잘하는 베이커리들이 많다보니, \n예전보다 덜 가게 되기는 하지만 빵종류가 엄청 많아서 고르는 재미가 있는 곳. \n케익종류는 가격대가 좀 있지만, 무난한 빵들은 또 적당한 가격대로 느껴져서 큰 부담없고 괜찮습니다. 빵 구매하시고 위에 카페(작은 테이블공간) 있으니 거기서 드셔도 되세요.', 'score': '4'}, {'review': '나폴레옹 본점\n넓고 빵 종류도 많아요\n요즘엔 지점이 많이 생겼는데\n아이스 샌드는 가격대비 별로고\n오히려 다른 빵이 맛있었어요', 'score': '4'}, {'review': '오래전부터 가끔 가는 빵집인데 예전엔 좀 비싸다 느꼈는데 요즘 물가가 올라 그런가~ 다른 곳에 비해 비싸단 생각은 안드는 것 같아요.  들은 것 없어 보이는 데 맛있는 것이 진짜 실력??아닐까요~ 오래간만에 맛나게 잘 먹고 왔어요.', 'score': '4'}, {'review': '이동네에서 정말 오랫동안 맛있는 빵집이에요. 한성대입구역 사거리에서 보여요. 매장도 크고 빵 종류도 정말 많고 맛있어요.', 'score': '4'}, {'review': '길상사 가는 마을버스 타는 곳 맞은편에 있는 나폴레옹   같이 간 친구가 유명한 곳이라면서 집에 가지고 갈 빵을 사서 같이 사게 됐는데 가격은 다른데보다는 조금 비싸지만 맛이 있었다.   빵을 사서 2층에서 커피랑 같이 먹을 수도 있는 장점이 있다.', 'score': '5'}]"
대동문,"고향이 평양인 할머니와 아들, 며느리가 운영하는 20여 년 역사의 음식점으로, 어복쟁반, 만둣국, 콩비지, 녹두지짐 등의 평양 전래음식을 옛날 그대로 재현하고 있다.","{'전화번호': '02-782-1780', '웹사이트': 'http://www.daedongmun.kr/', '이용시간': '평일 10:00~15:00, 17:00~22:00', '휴무일': '매주 토요일, 일요일, 공휴일 휴무', '이용요금': '약 1 ~ 6만원대', '대표메뉴': '어복쟁반, 평양손만두국', '주소': '07328  서울 영등포구 국제금융로6길 30 (백상빌딩)  백상빌딩 2층', '교통 정보': '5,9호선 여의도역 5번 출구에서 약 320m (도보 5분)'}",[]
라메흐꺄도,"‘바다의 선물’이라는 뜻의 한식 해산물 전문점. 외부에 장식된 현수막이 말해주듯, 가수 이하이의 부모님이 운영하는 음식점이다. 인천에서 직송된 제철 꽃게를 비법 간장으로 절인 간장게장이 대표메뉴다. 간장게장 정식은 간장게장과 함께 소라, 전복, 미역과 다시마 등 싱싱하고 알 굵은 해산물을 이용한 반찬이 여럿 곁들여 나온다. 바비, 이수현 등 이하이와 한솥밥을 먹었던 YG엔터테인먼트 소속 연예인들이 남긴 메시지를 보는 재미도 쏠쏠하다. 이하이가 눈감고도 엄마가 만든 것을 구분할 수 있을 만큼 좋아한다는 게장은 택배 주문도 가능하다.","{'전화번호': '0507-1379-5989', '이용시간': '11:00~21:20', '휴무일': '매달 1, 3번째 월요일, 명절 휴무', '대표메뉴': '간장게장, 양념게장, 간장새우장', '주소': '07280  서울 영등포구 선유로17길 24 (문래동6가, 신일아르디세)', '교통 정보': '5호선 양평역 2번 출구에서 약 594m (도보 10분)'}",[]
된장예술과술,"큰 대접에 나오는 구수한 된장비빔밥이 대표 메뉴로, 구수한 된장찌개와 부추를 듬뿍 넣어 비벼 먹는 된장비빔밥 맛이 좋다. 두 가지 식사 메뉴가 있는데, 나머지 하나는 간장게장 밥이다.","{'전화번호': '02-733-4516', '이용시간': '월요일~금요일 11:00~15:00, 16:00~22:00', '이용요금': '약 1 ~ 2만원대', '대표메뉴': '된장정식, 순녹두빈대떡, 간장게장정식, 양념게장정식', '주소': '03190  서울 종로구 삼일대로15길 20 (관철동)', '교통 정보': '1호선 종각역 4번 출구에서 약 352m (도보 5분)'}","[{'review': '들어가니 나이드신 분들이 단체로 와 계셨어요. 이런 집이 진짜 맛집이라고 합니다. 이런 곳이 인사동에 몇 안남았다고 하셨어요. 된장비빔밥과 녹두전 막걸리를 먹었는데 다 맛있었습니다. 된장비빔밥은 보리밥에 채소 넣고 된장과 두부를 올려 비벼먹는거였어요 건강식이었습니다. 8000원이었어요. 녹두전은 겉은 바삭하고 속은 부드러웠습니다. 막걸리와 먹으니 참...', 'score': '4'}, {'review': '종로스러운 맛집입니다. 투박하면서도 맛있어요. 된장비빔밥을 가장 좋아합니다. 밑반찬들도 좋고 든든하게 한끼먹기에 제격입니다.', 'score': '5'}, {'review': '한국 토속음식인 된장을 주재료한 일반 식사메뉴와 막걸리 안주로 다양한 음식을 맛볼수 있는 평범한 곳이네요 음식 간이 좀 센편이라 자극적일수 있어요', 'score': '3'}, {'review': '을지로에서 벌써 저녁을 먹고 소화시킬겸 종각역까지 삥 돌다가 2차 할 곳을 찾고 있었다.\n집밥같은 메인과 반찬들.\n사장님 내외분도 우리가 마지막이며 홀로 손님인데도 불구하고 늦은시간까지 기다려주셨다.\n다음엔 된장정식을 꼭 먹어볼 거다.', 'score': '5'}, {'review': '가격과 장소 모두 좋구요, 된장 정식과 간장 게장이 유명 하다 길래 주문 했습니다. 기본 반찬도 많이 나오는 편이라 맛잇게 푸짐히 먹었습니다.', 'score': '5'}]"
강강술래(상계점),"세계에 보여주고 싶은 최고의 갈비전문점      수락산과 도봉산의 수려한 산세를 병풍처럼 두른 곳. 인기 메뉴 한우 모듬구이는 한우 100%로 안창살, 토시살, 치맛살, 제비추리, 살치살과 함께 쇠고기의 최고 부위인 갈비살과 등심 중 당일 가장 신선하고 맛이 뛰어난 부위만 엄선하여 제공한다.","{'전화번호': '02-935-9233', '웹사이트': 'http://www.sullai.com', '이용시간': '월요일~금요일 11:00~22:20\n토요일~일요일 10:30~22:20', '휴무일': '연중무휴', '대표메뉴': '한우모둠구이, 한돈양념구이', '주소': '01630  서울 노원구 동일로 1628 (상계동, 상계동강강술래)', '교통 정보': '7호선 수락산역 3번 출구에서 약 352m (도보 5분)'}","[{'review': '꽤 가격대가 있는 편이지만\n\n주차공간이나 위치 서비스 그리고 제일 중요한 음식 맛 등을 고려했을때\n\n어른들 모시고 가족모임하기에 좋은 곳입니다.', 'score': '4'}, {'review': '가족들과 다같이 갈비 먹으러 갈 때 좋은 맛집이예요! 맛있어서 넘 좋았어요ㅠㅠ 그리고 생일 때 가면 생일이라고 생일상?도 주시는 것 같아요ㅎㅎ 가끔 고기 먹고 나서 1+1 이벤트로 가공된 고기를 주시기도 하셔서 좋아요 ㅎㅎ', 'score': '5'}, {'review': '깨끗하고 깔끔한 반찬과 적당한 금액의 갈비를 먹을수있는곳이예요\n요즘은 고기1인분 먹으면 1인분을 포장해주는 행사를 하고있어요\n어린아이들이 놀수있는 놀이방도 있답니다^^\n가격대비 괜찮은 곳이예요~', 'score': '4'}, {'review': '늘 맛있는 고기가 생각날때 가는데요,\n가격대가 좀 있는편이라.....\n9시 이후에 가면 해피아워라 2인분 주문하면 \n1인분 더 줍니다^^\n밑반찬도 깔끔하고 맛있고,\n직원분들도 친절하십니다', 'score': '4'}, {'review': '폐가구로만든 숯을 사용하는 발암물질 식당 어쩌다 갔지만 식기들이 잘 닦여있지 않고 청결하지 못함', 'score': '1'}]"
세림,"국수전골이 유명한 집. 고기와 채소를 살짝 데쳐 먹은 후 국수를 끓여 먹는데, 면은 쑥국수와 콩국수 중에서 선택할 수 있다. 국수를 먹고 나서 양이 부족하면 죽을 더 끓여 먹는다.","{'전화번호': '02-319-4603', '이용시간': '평일 10:00~15:00, 17:00~22:00 / 토요일 11:00~20:00', '휴무일': '매주 일요일, 명절 휴무', '운영 요일': '월요일 ~ 토요일', '대표메뉴': '국수전골(1만5천원), 곱창전골 (1만 5천원)', '가격대': '2만원대', '주소': '04522  서울 중구 남대문로9길 24 (다동)', '교통 정보': '2호선 을지로입구역 2번 출구에서 약 329m (도보 4분)'}","[{'review': '점심시간이면 인산인해를 이루는곳, 국수전골이 맛나며 아주머니의 일사불란한 움직임과 서비스도 구경거리이다. \n국수를 먹은뒤 죽도 꽤 맛있다. 역삼동 소정과 비교되는곳!', 'score': '5'}]"
광장동가온,"가온은 곰국시, 손만두 전문점으로 2008년 4월 오픈한 이래 맛집으로 입소문이 자자하다. 식당 바로 앞에 자리한 한강의 아름다운 풍경이 펼쳐지는 한식 레스토랑이다.","{'전화번호': '0507-1363-7100', '이용시간': '11:20 ~ 22:30', '휴무일': '8월1일, 명절 휴무', '운영 요일': '월요일~일요일', '이용요금': '약 1\t~2만원대', '대표메뉴': '국수', '주소': '04969  서울특별시 광진구 아차산로78길 75, 현대골든텔 106호 (광장동)', '교통 정보': '5호선 광나루역 2번 출구에서 약 1.1km (도보 19분)'}","[{'review': '워커힐점에서 식사 후 저녁에 가족들과 먹으러 5만원짜리 보쌈 대자 주문해서 가져가서 개봉했는데 도저히 여럿이 같이 먹을 수 있는 양이 아닙니다. 겨우 1인분 정도 밖에 안되는 정도이므로 이 점 착오 없으시길 바랍니다.\n솔직히 이렇게 적은 양을 대자로 판매하는 것은 상도의가 없는 것으로 생각되며 보쌈은 1점도 아깝습니다.', 'score': '1'}, {'review': '여기 맛있어요\n주변에 살아서 종종 가는데 뭔가 특별한 맛이라기보다 따뜻하고 호불호 없을것 같은 맛이에요\n의외로 번화가가 아닌데도 식사시간에는 대기해야 할 정도로 사람이 많아요', 'score': '5'}, {'review': '한강변에 괜찮은 레스토랑이다. 국수면이 일반소면과 확실히 다르다. 국물도 깊은맛이나고, 다만 직원들이 바뻐서 조금 서비스에 아쉬움은 있지만 나쁘지는 않다. 구수위주로 먹었는데, 다음에오면 여러 메뉴를 먹어보고싶다.', 'score': '4'}, {'review': '곰국시를 먹으러 가족과 함께 방문했는데 만두맛은 그런대로 보통수준이었으나 국수가 국물이  너무 짜서 소문만큼 대단하지 않았음,\n반찬으로 나오는 샐러드는 단맛이 너무 강했고 두가지 김치는 너무 평범했음,\n식사후 야외석에서 바라보는 한강의 풍경이 섭섭했던 음식맛을 보완해 주었음.\n커피도 자판기에서 각자가 뽑아야하며 불우이웃돕기 성금조로 100원을 받고 있어...', 'score': '4'}, {'review': '만두와 칼국수 먹으러 가는 곳입니다.  따뜻한 국물이 생각날때 맛난 만두와 칼국수가 생각날때 방문하시면 정말 좋습니다.', 'score': '5'}]"
